t,ch1,ch1_marked
165.448,0.71061,4.409489974932512e-06
165.449,0.72339,1.0758127189092193e-07
165.45,0.71061,3.1167601832748915e-07
165.451,0.7055,1.4943432802283496e-07
165.452,0.71317,7.972458320182341e-07
165.453,0.72083,4.2840204628191714e-07
165.454,0.72339,1.0761200428532902e-06
165.455,0.71828,1.0092820446061523e-07
165.456,0.71317,9.063051038538106e-07
165.457,0.71317,2.449022815653734e-07
165.458,0.72339,8.54214050605151e-08
165.459,0.7055,1.7616547438592534e-06
165.46,0.71572,2.887066159473761e-07
165.461,0.72339,1.0067852826978196e-06
165.462,0.71317,7.108002932909585e-07
165.463,0.7055,1.5490505802517873e-06
165.464,0.70805,4.397998338845355e-07
165.465,0.7055,8.601920740147762e-07
165.466,0.7285,2.708774218262988e-07
165.467,0.69783,3.5337433246240835e-07
165.468,0.7055,7.808372259887619e-08
165.469,0.70805,5.353882102099305e-07
165.47,0.67994,5.944773420196725e-07
165.471,0.70039,5.81732763293985e-07
165.472,0.70039,4.6571128109462734e-07
165.473,0.6876,4.961275772075169e-05
165.474,0.69527,0.0005192487151362002
165.475,0.70805,0.0006219249335117638
165.476,0.67227,7.869322871556506e-05
165.477,0.66204,2.9024980904068798e-05
165.478,0.67482,0.0001781187456799671
165.479,0.67227,0.0006088524241931736
165.48,0.65693,0.0002378295175731182
165.481,0.65438,0.0007742447196505964
165.482,0.66971,0.0001209967813338153
165.483,0.65949,0.00010690590715967119
165.484,0.67227,0.000303415086818859
165.485,0.65949,5.9788639191538095e-05
165.486,0.65182,0.00019730276835616678
165.487,0.63648,0.00010195763752562925
165.488,0.65949,0.00092391885118559
165.489,0.64671,0.00017487518198322505
165.49,0.66204,0.0008229480008594692
165.491,0.63904,0.00023951026378199458
165.492,0.62626,8.182705641957e-05
165.493,0.64159,0.0001609246974112466
165.494,0.64415,6.531435792567208e-05
165.495,0.65949,6.868613127153367e-05
165.496,0.6237,9.888399654300883e-05
165.497,0.61603,0.00017880125960800797
165.498,0.63393,2.1742285753134638e-05
165.499,0.61603,1.4629506495111855e-06
165.5,0.62115,2.896922978834482e-06
165.501,0.60836,1.6218743894569343e-06
165.502,0.60836,7.297294359887019e-07
165.503,0.60581,4.747747937017266e-07
165.504,0.61348,7.506158112846606e-07
165.505,0.59558,1.1321791362206568e-06
165.506,0.61859,8.714829391465173e-07
165.507,0.59558,1.2698447449110972e-07
165.508,0.59558,1.7371967260260135e-06
165.509,0.60325,2.1228588309440966e-07
165.51,0.59558,1.6839993577377754e-06
165.511,0.59558,1.676580438925157e-07
165.512,0.60325,2.124427510352689e-06
165.513,0.60836,1.0882122296607122e-06
165.514,0.58536,1.5820088492546347e-06
165.515,0.5828,1.70998850990145e-06
165.516,0.57769,4.562447770695144e-07
165.517,0.58025,2.1051658904980286e-07
165.518,0.5828,6.374660870278603e-07
165.519,0.57513,4.85087696233677e-07
165.52,0.58025,1.5532858697042684e-06
165.521,0.58025,3.9774190554453526e-06
165.522,0.57513,2.009401356417584e-07
165.523,0.57258,4.474410161492415e-05
165.524,0.58025,4.3642048694891855e-05
165.525,0.56491,9.461325680604205e-05
165.526,0.57002,1.5097771211003419e-05
165.527,0.5598,6.118218880146742e-05
165.528,0.5598,6.38972851447761e-05
165.529,0.54446,3.939646921935491e-05
165.53,0.56235,4.221882045385428e-05
165.531,0.58792,4.587769217323512e-05
165.532,0.56747,3.951280450564809e-05
165.533,0.55724,6.743855919921771e-05
165.534,0.57769,3.3274369343416765e-05
165.535,0.56235,3.086630022153258e-05
165.536,0.5598,0.0001692438090685755
165.537,0.56747,6.305277929641306e-05
165.538,0.57258,1.645622069190722e-05
165.539,0.55469,5.394694017013535e-05
165.54,0.5828,6.726001447532326e-05
165.541,0.58025,1.4066606127016712e-05
165.542,0.55724,0.0001877184840850532
165.543,0.54957,3.117680535069667e-05
165.544,0.56491,2.352487535972614e-05
165.545,0.57258,2.5151697627734393e-05
165.546,0.55724,5.465970025397837e-05
165.547,0.54446,7.472975994460285e-05
165.548,0.56235,1.73035678017186e-05
165.549,0.54957,0.00016162086103577167
165.55,0.57002,9.098763985093683e-05
165.551,0.54957,5.2774925279663876e-05
165.552,0.56235,3.276338611613028e-05
165.553,0.55213,3.473109609331004e-05
165.554,0.54702,0.00023430376313626766
165.555,0.54702,0.00010365316120442003
165.556,0.52657,6.243690586416051e-05
165.557,0.52146,5.466903166961856e-05
165.558,0.54702,0.0001422001951141283
165.559,0.5598,0.00016835486167110503
165.56,0.56491,5.167314884602092e-05
165.561,0.53679,7.611067121615633e-05
165.562,0.53168,6.84624828863889e-05
165.563,0.53424,9.560882608639076e-05
165.564,0.53424,0.0001453139411751181
165.565,0.54446,2.1906373149249703e-05
165.566,0.54702,6.545745418407023e-05
165.567,0.54446,0.0003802407009061426
165.568,0.51634,1.139747109846212e-05
165.569,0.53168,0.00012532078835647553
165.57,0.54957,6.258880603127182e-05
165.571,0.55213,0.00021019428095314652
165.572,0.53935,0.00019087758846580982
165.573,0.55213,0.011487864889204502
165.574,0.5419,0.019471919164061546
165.575,0.53424,0.05278358981013298
165.576,0.55724,0.005091744475066662
165.577,0.55469,0.004368074703961611
165.578,0.54446,0.044642604887485504
165.579,0.53424,0.006298112217336893
165.58,0.54957,0.023709088563919067
165.581,0.56747,0.039446234703063965
165.582,0.55469,0.05061747878789902
165.583,0.54446,0.005524070002138615
165.584,0.53168,0.002516702516004443
165.585,0.52912,0.04920941963791847
165.586,0.54957,0.02157694846391678
165.587,0.53168,0.01691174879670143
165.588,0.53935,0.0009932442335411906
165.589,0.54702,0.12642830610275269
165.59,0.53424,0.034580230712890625
165.591,0.53679,0.0028069480322301388
165.592,0.52401,0.0060442788526415825
165.593,0.53424,0.04450778290629387
165.594,0.53424,0.01257290132343769
165.595,0.50101,0.0155599070712924
165.596,0.52912,0.03378549590706825
165.597,0.56491,0.004604439251124859
165.598,0.48823,0.7246330976486206
165.599,0.47033,3.4397587569401367e-06
165.6,0.53168,1.2787400919478387e-05
165.601,0.52912,2.52790250669932e-05
165.602,0.48823,4.266922132956097e-06
165.603,0.51379,2.3448719730367884e-05
165.604,0.50867,8.862136269272014e-07
165.605,0.47289,1.075988075172063e-05
165.606,0.48567,3.4954134662257275e-06
165.607,0.51634,1.9501321730786003e-06
165.608,0.49589,1.127049108617939e-05
165.609,0.47544,2.470148046995746e-06
165.61,0.46778,6.414453764591599e-06
165.611,0.46266,3.791691142396303e-06
165.612,0.46778,9.49763762037037e-06
165.613,0.478,7.868689863244072e-06
165.614,0.46522,3.893007306032814e-05
165.615,0.48056,5.374285137804691e-06
165.616,0.46266,2.579070314823184e-05
165.617,0.46522,1.1710289982147515e-05
165.618,0.45755,1.5279088984243572e-05
165.619,0.46011,1.2278204849280883e-05
165.62,0.45244,3.289856067567598e-06
165.621,0.455,1.4897040273353923e-05
165.622,0.46011,7.140681645978475e-06
165.623,0.44221,3.158050822094083e-05
165.624,0.4371,0.000865339650772512
165.625,0.45244,0.0008608542266301811
165.626,0.43966,0.0006060485611669719
165.627,0.43455,0.0006492095999419689
165.628,0.40898,0.00010938000195892528
165.629,0.43199,9.08935398911126e-05
165.63,0.41921,6.463588943006471e-05
165.631,0.41665,0.00036149926017969847
165.632,0.42688,0.00037029149825684726
165.633,0.42943,0.0001707646151771769
165.634,0.39365,9.257267083739862e-05
165.635,0.40898,0.0009390325867570937
165.636,0.40898,0.0002160614385502413
165.637,0.40387,0.00021283028763718903
165.638,0.38598,0.0003582641656976193
165.639,0.40898,8.492937195114791e-05
165.64,0.40643,0.000235897081438452
165.641,0.39876,8.870499732438475e-05
165.642,0.37831,7.634104258613661e-05
165.643,0.3962,0.0003679312067106366
165.644,0.39109,4.719110802398063e-05
165.645,0.38598,0.00013191738980822265
165.646,0.38598,0.0005488881724886596
165.647,0.38087,0.0005300134653225541
165.648,0.37064,1.470163283556758e-06
165.649,0.38598,2.181874680928786e-10
165.65,0.38854,1.1871090221937664e-10
165.651,0.37064,1.0794991567308898e-09
165.652,0.37064,1.8697443593396201e-10
165.653,0.37064,3.4557867678586263e-10
165.654,0.38087,2.3321298225909004e-09
165.655,0.3732,4.88034168633078e-10
165.656,0.35786,7.566740567455099e-10
165.657,0.36297,1.306131869327487e-09
165.658,0.36553,3.031441209166985e-10
165.659,0.37064,2.466702675452126e-10
165.66,0.35275,1.1324777782206752e-09
165.661,0.36553,1.3080965199918637e-09
165.662,0.36042,2.4103581353074333e-09
165.663,0.34764,9.854350668803136e-10
165.664,0.36297,1.7275703090291472e-09
165.665,0.33741,4.035717870998212e-10
165.666,0.36042,1.90116020148956e-10
165.667,0.37831,1.1250174403176771e-10
165.668,0.36297,3.811725379776476e-10
165.669,0.35019,1.1710341030202187e-10
165.67,0.34764,5.060765695397151e-10
165.671,0.33486,2.8110888616872387e-10
165.672,0.35531,5.142131609403577e-09
165.673,0.33486,3.20141380072414e-09
165.674,0.3323,1.4532486325435912e-09
165.675,0.35275,2.2967443502608376e-09
165.676,0.34508,2.641520335799896e-09
165.677,0.34764,6.718276490680353e-10
165.678,0.34764,1.7423389397919209e-09
165.679,0.35275,4.671411257817226e-09
165.68,0.34508,3.4455536201960513e-09
165.681,0.33741,1.6836640970296912e-09
165.682,0.32463,6.200959190572064e-10
165.683,0.34252,2.2293398238559803e-09
165.684,0.33486,6.014604370108145e-09
165.685,0.32974,8.695554831739116e-10
165.686,0.33741,1.8046550920303162e-09
165.687,0.33741,1.4399886616445201e-08
165.688,0.3323,5.598534968953572e-09
165.689,0.34508,2.8244837579904924e-09
165.69,0.34764,6.856419876299924e-09
165.691,0.32719,2.0432653347057794e-09
165.692,0.34252,4.203478010111894e-09
165.693,0.32719,3.99915389692751e-09
165.694,0.32463,7.963984138825708e-09
165.695,0.32719,3.720057373257646e-09
165.696,0.33741,2.2266956334338062e-10
165.697,0.31441,3.9130689799549145e-09
165.698,0.32208,8.984462951389105e-09
165.699,0.31952,6.506296890140817e-11
165.7,0.31441,9.02380045686435e-11
165.701,0.32719,1.2631118373462868e-10
165.702,0.3323,6.973516902819554e-11
165.703,0.32463,1.6836280980481177e-10
165.704,0.3323,9.124929284398675e-11
165.705,0.32208,4.834515773821657e-11
165.706,0.31185,7.328982559728914e-11
165.707,0.33486,9.727377930923709e-11
165.708,0.32208,2.530261000721623e-10
