t,ch1,ch1_marked,ch1_ai_marked
167.97,0.39109,0.0,6.935087185411248e-06
167.971,0.3962,0.0,6.839442221462377e-07
167.972,0.38087,0.0,3.030617676813563e-07
167.973,0.38342,0.0,3.692623806728079e-07
167.974,0.38342,0.0,2.0073481721283326e-07
167.975,0.37575,0.0,2.07971083909797e-06
167.976,0.40643,0.0,1.8890100363933016e-06
167.977,0.40132,0.0,6.657417543465272e-06
167.978,0.37831,0.0,4.5378305912890937e-07
167.979,0.39109,0.0,3.546038556123676e-07
167.98,0.38598,0.0,1.9821532077912707e-06
167.981,0.38342,0.0,9.13739040697692e-06
167.982,0.37575,0.0,1.3230319062529361e-08
167.983,0.36297,0.0,1.4127483183301592e-08
167.984,0.38598,0.0,1.7307536737121154e-08
167.985,0.38854,0.0,3.57797560468498e-08
167.986,0.38854,0.0,2.046722613613383e-08
167.987,0.38854,0.0,3.4098327716947097e-08
167.988,0.3732,0.0,1.2059544474141148e-07
167.989,0.38854,0.0,3.115119966423663e-07
167.99,0.38854,0.0,7.637046337549691e-07
167.991,0.36809,0.0,4.054350029036868e-06
167.992,0.39365,0.0,2.28956741921138e-05
167.993,0.37064,0.0,4.537368567980593e-06
167.994,0.40132,0.0,0.0001091543163056
167.995,0.37575,0.0,8.554645319236442e-05
167.996,0.37831,0.0,2.847315590770449e-05
167.997,0.39109,0.0,5.097166285850108e-05
167.998,0.38342,0.0,7.269686466315761e-05
167.999,0.38342,0.0,0.0001239856064785
168.0,0.37831,0.0,8.028505544643849e-05
168.001,0.39109,0.0,4.618928869604133e-05
168.002,0.37831,0.0,4.857050589635037e-05
168.003,0.38598,0.0,0.0001351827668258
168.004,0.39365,0.0,7.457101310137659e-05
168.005,0.38087,0.0,3.126846058876254e-05
168.006,0.38342,0.0,0.0001589314633747
168.007,0.38087,0.0,6.885177572257817e-05
168.008,0.38854,0.0,5.372643863665871e-05
168.009,0.38854,0.0,0.0001881225471151
168.01,0.38598,0.0,0.0007979364600032
168.011,0.37831,0.0,0.0004455739981494
168.012,0.38342,0.0,5.639458322548308e-05
168.013,0.38598,0.0,0.0038426497485488
168.014,0.39365,0.0,0.0061217974871397
168.015,0.3732,0.0,0.0015037725679576
168.016,0.35531,0.0,0.0001447732938686
168.017,0.39365,0.0,0.000100894816569
168.018,0.40132,0.0,0.0010536670451983
168.019,0.38342,0.0,0.0064389533363282
168.02,0.38854,0.0,0.0051350761204957
168.021,0.38598,0.0,0.0156506933271884
168.022,0.37575,0.0,0.0051288339309394
168.023,0.37575,0.0,0.0010434705764055
168.024,0.38342,0.0,0.006781630218029
168.025,0.4141,0.0,0.00079779693624
168.026,0.38598,0.0,0.0006779307150281
168.027,0.38087,0.0,0.0087487082928419
168.028,0.39365,0.0,0.0021349356975406
168.029,0.38342,0.0,0.0012087160721421
168.03,0.39109,0.0,0.0014391506556421
168.031,0.39109,0.0,0.000251648685662
168.032,0.40643,0.0,8.744726983422879e-06
168.033,0.37831,0.0,8.178410098480526e-06
168.034,0.37575,0.0,7.772733806632459e-05
168.035,0.39365,0.0,1.0529174687690102e-06
168.036,0.38087,0.0,5.088744501335896e-07
168.037,0.38342,0.0,2.7326970553076535e-07
168.038,0.40132,0.0,5.6401036999886855e-05
168.039,0.39109,0.0,6.973559720790945e-06
168.04,0.38854,0.0,6.950030524421891e-07
168.041,0.3962,0.0,3.323646069475217e-06
168.042,0.40643,0.0,1.5181160506472224e-06
168.043,0.38087,0.0,6.427881658055412e-07
168.044,0.3962,0.0,1.3832471950081526e-06
168.045,0.3962,0.0,2.2459053070633672e-05
168.046,0.40643,0.0,1.6303823940688744e-05
168.047,0.3962,0.0,7.581549652968533e-06
168.048,0.38598,0.0,2.473674840075546e-06
168.049,0.40387,0.0,3.983413080277387e-06
168.05,0.38854,0.0,3.7987815630913246e-06
168.051,0.39365,0.0,4.949170488544041e-06
168.052,0.3962,0.0,1.3927126474300169e-06
168.053,0.40387,0.0,1.4368098391059902e-06
168.054,0.40132,0.0,1.732240525598172e-05
168.055,0.40643,0.0,4.185267607681453e-05
168.056,0.40132,0.0,1.0880596619244898e-06
168.057,0.38598,0.0,8.701834303792566e-06
168.058,0.40387,0.0,9.055483678821474e-05
168.059,0.40132,0.0,3.8359949883215456e-08
168.06,0.38598,0.0,4.850188020100177e-07
168.061,0.40387,0.0,1.2709064094451603e-06
168.062,0.40387,0.0,1.0245247722195929e-05
168.063,0.38598,0.0,3.0053473892621696e-05
168.064,0.38854,0.0,6.303052487055538e-06
168.065,0.38598,0.0,1.3321624464879278e-05
168.066,0.38598,0.0,1.362102648272412e-05
168.067,0.40898,0.0,5.413099643192254e-06
168.068,0.41154,0.0,4.736572918773163e-06
168.069,0.40898,0.0,1.3522956976430578e-07
168.07,0.3962,0.0,0.0017831160221248
168.071,0.39109,0.0,0.000571105221752
168.072,0.38854,0.0,0.0015392408240586
168.073,0.38598,0.0,0.0021133529953658
168.074,0.38854,0.0,0.0004055977333337
168.075,0.43966,0.0,0.0004862911009695
